,precision,recall,f1-score,support
Bất động sản,0.9185185185185185,0.9841269841269841,0.9501915708812261,126.0
Công nghệ,0.9203539823008849,0.9285714285714286,0.9244444444444444,112.0
Du lịch,0.8984375,0.9274193548387096,0.9126984126984127,124.0
Giáo dục,0.9747899159663865,0.9747899159663865,0.9747899159663865,119.0
Giải trí,0.944,0.9752066115702479,0.959349593495935,121.0
Khoa học,0.963963963963964,0.9224137931034483,0.9427312775330396,116.0
Kinh doanh,0.907563025210084,0.84375,0.8744939271255061,128.0
Pháp luật,0.9076923076923077,0.9291338582677166,0.9182879377431906,127.0
Sức khỏe,0.9384615384615385,0.9606299212598425,0.9494163424124513,127.0
Thế giới,0.9596774193548387,0.952,0.9558232931726908,125.0
Thể thao,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
Thời sự,0.8870967741935484,0.8270676691729323,0.8560311284046692,133.0
Ý kiến,0.968,0.983739837398374,0.9758064516129032,123.0
Đời sống,0.8770491803278688,0.8699186991869918,0.8734693877551021,123.0
accuracy,0.931673422119282,0.931673422119282,0.931673422119282,0.931673422119282
macro avg,0.9320864773833565,0.9324555592543301,0.9319375371414751,1727.0
weighted avg,0.9315349501934472,0.931673422119282,0.93126177766481,1727.0
