,precision,recall,f1-score,support
Bất động sản,0.8656716417910447,0.9206349206349206,0.8923076923076924,126.0
Công nghệ,0.925,0.6607142857142857,0.7708333333333334,112.0
Du lịch,0.91,0.7338709677419355,0.8125,124.0
Giáo dục,0.9801980198019802,0.8319327731092437,0.9,119.0
Giải trí,0.9478260869565217,0.9008264462809917,0.923728813559322,121.0
Khoa học,0.9493670886075949,0.646551724137931,0.7692307692307693,116.0
Kinh doanh,0.6797385620915033,0.8125,0.7402135231316725,128.0
Pháp luật,0.872,0.8582677165354331,0.8650793650793651,127.0
Sức khỏe,0.8676470588235294,0.9291338582677166,0.8973384030418251,127.0
Thế giới,0.9067796610169492,0.856,0.8806584362139918,125.0
Thể thao,0.8759124087591241,0.975609756097561,0.9230769230769231,123.0
Thời sự,0.5906735751295337,0.8571428571428571,0.6993865030674846,133.0
Ý kiến,0.6312849162011173,0.9186991869918699,0.7483443708609272,123.0
Đời sống,0.6883116883116883,0.43089430894308944,0.53,123.0
accuracy,0.8118123914302259,0.8118123914302259,0.8118123914302259,0.8118123914302259
macro avg,0.8350293362493277,0.8094842001141312,0.8109070094930934,1727.0
weighted avg,0.832002370696249,0.8118123914302259,0.810692515539592,1727.0
