,Bất động sản,Công nghệ,Du lịch,Giáo dục,Giải trí,Khoa học,Kinh doanh,Pháp luật,Sức khỏe,Thế giới,Thể thao,Thời sự,Ý kiến,Đời sống
Bất động sản,116,0,0,0,0,0,6,0,0,0,0,1,3,0
Công nghệ,2,74,1,0,0,2,11,3,1,1,1,7,5,4
Du lịch,4,0,91,0,0,1,4,3,0,2,1,5,7,6
Giáo dục,1,0,0,99,0,1,1,0,0,0,0,8,7,2
Giải trí,1,0,1,0,109,0,1,1,0,0,0,1,7,0
Khoa học,0,4,0,0,0,75,10,0,2,0,0,20,5,0
Kinh doanh,5,1,1,0,0,0,104,3,0,5,0,7,2,0
Pháp luật,0,0,0,0,0,0,1,109,1,3,0,8,2,3
Sức khỏe,0,0,0,0,0,0,1,1,118,0,0,3,2,2
Thế giới,0,0,0,0,1,0,9,2,0,107,1,2,1,2
Thể thao,0,0,0,0,1,0,0,0,0,0,120,1,0,1
Thời sự,5,0,1,0,1,0,2,1,2,0,2,114,1,4
Ý kiến,0,0,1,2,1,0,1,0,0,0,3,2,113,0
Đời sống,0,1,4,0,2,0,2,2,12,0,9,14,24,53
