label,all,train,test,train_ratio,test_ratio
Bất động sản,631,505,126,0.8003169572107766,0.19968304278922344
Công nghệ,561,449,112,0.8003565062388592,0.19964349376114082
Du lịch,619,495,124,0.7996768982229402,0.20032310177705978
Giáo dục,593,474,119,0.7993254637436762,0.20067453625632378
Giải trí,604,483,121,0.7996688741721855,0.20033112582781457
Khoa học,581,465,116,0.8003442340791739,0.19965576592082615
Kinh doanh,642,514,128,0.8006230529595015,0.19937694704049844
Pháp luật,633,506,127,0.7993680884676145,0.20063191153238547
Sức khỏe,633,506,127,0.7993680884676145,0.20063191153238547
Thế giới,624,499,125,0.7996794871794872,0.20032051282051283
Thể thao,617,494,123,0.8006482982171799,0.1993517017828201
Thời sự,664,531,133,0.7996987951807228,0.2003012048192771
Ý kiến,615,492,123,0.8,0.2
Đời sống,617,494,123,0.8006482982171799,0.1993517017828201
