param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_svm__C,mean_train_macro_f1,std_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,train_cv_gap,mean_fit_time,std_fit_time,rank_test_macro_f1
"(1, 2)",5,0.95,5.0,1.0,0.0,0.9173586221284099,0.004895981235452645,0.9173312402870882,0.9179274875138856,0.9180887027067287,0.9167395680977395,0.0826413778715901,21.056479120254515,0.9867031948543927,1
"(1, 2)",5,1.0,5.0,1.0,0.0,0.9172054506240336,0.004141462735982159,0.9171865224867988,0.9177965969490878,0.9179395142211458,0.9165933798822984,0.08279454937596642,18.78461060523987,0.4862611074530513,2
"(1, 2)",3,0.95,5.0,1.0,0.0,0.9171818034803699,0.004867752611353609,0.9171865224867988,0.9177572330860222,0.9179227061922873,0.9165782562614645,0.08281819651963007,24.2070152759552,2.4729991281198136,3
"(1, 2)",5,0.9,5.0,1.0,0.0,0.9170841304176264,0.003940427446667506,0.9170415951024395,0.9176861323369259,0.9177613726509696,0.9164735659241584,0.08291586958237362,22.247674465179443,1.4160101913745027,4
"(1, 2)",3,0.9,5.0,1.0,0.0,0.9168961571794345,0.0043723478691079,0.9168967725101151,0.9174921114709766,0.9176102451842107,0.9162963607370429,0.08310384282056549,20.169401025772096,0.35264005420094235,5
"(1, 2)",2,0.95,5.0,1.0,0.0,0.9168952827500227,0.004806339840177237,0.9168968773021501,0.9175236368900672,0.9176049053913404,0.9163006461431904,0.08310471724997726,22.76348524093628,1.072213644138068,6
"(1, 2)",2,1.0,5.0,1.0,0.0,0.9168900414125385,0.004668541904639475,0.9168968773021501,0.9174858670236606,0.9176223013314386,0.9162905483192011,0.08310995858746151,21.455042362213135,1.9654304993739389,7
"(1, 2)",2,0.9,5.0,1.0,0.0,0.9166052348399152,0.0041580544101246925,0.9166072321175012,0.9171949371198538,0.9173248713819829,0.9160066571020931,0.08339476516008482,20.358137989044188,0.22569593064885413,8
"(1, 2)",3,1.0,5.0,1.0,0.0,0.9166039954981811,0.004983848960124419,0.916607441701571,0.9172196317220882,0.9173214160954022,0.9160062269812489,0.08339600450181894,21.22731590270996,0.3889680972135255,9
"(1, 2)",3,0.95,2.0,1.0,0.0,0.9152253812484394,0.004557151552696269,0.9153040383706514,0.9157667775821727,0.9159801189376514,0.914708120720654,0.08477461875156056,20.753343200683595,2.2185028354658205,10
"(1, 2)",3,1.0,2.0,1.0,0.0,0.9152247802353577,0.004738815789934659,0.9153040383706517,0.9157475566766149,0.915974166556699,0.9147041875189477,0.0847752197646423,21.10857696533203,1.5325498977978258,11
"(1, 2)",5,0.9,2.0,1.0,0.0,0.9150975913384667,0.00484367505132962,0.9151593205703621,0.9156098713766749,0.9158443030854834,0.9145518735562096,0.08490240866153331,20.78174591064453,0.6903178141997983,12
"(1, 2)",5,0.95,2.0,1.0,0.0,0.9149403581587336,0.004486446526047923,0.9150144979780377,0.9154481471893886,0.9157058843187466,0.9144307764866262,0.08505964184126635,19.46576371192932,1.2138950150115013,13
"(1, 2)",5,1.0,2.0,1.0,0.0,0.9147485306188756,0.004498206927218493,0.9148696753857134,0.9152787119725392,0.9155375603261687,0.9142413486835919,0.08525146938112438,20.893969917297362,1.0376611335097579,14
"(1, 2)",2,0.9,2.0,1.0,0.0,0.9146595509493339,0.004635164100374848,0.914724852793389,0.9152610227473608,0.9154148016658761,0.9141062844822884,0.08534044905066607,22.0647310256958,1.507040162774309,15
"(1, 2)",2,1.0,2.0,1.0,0.0,0.9146183426365324,0.004301620108236695,0.914724852793389,0.9151329321854039,0.9153992125628209,0.914102922093508,0.08538165736346759,20.18274908065796,0.8731843790097659,16
"(1, 2)",2,0.95,2.0,1.0,0.0,0.9146078175230696,0.004610723128749894,0.9147247480013541,0.9151571864992405,0.9154135421248529,0.9140864094978796,0.08539218247693037,18.524755334854127,0.5316749061540413,17
