params,mean_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,rank_test_macro_f1
"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.95, 'svm__C': 5.0}",1.0,0.9171818034803699,0.004867752611353609,0.9171865224867988,0.9177572330860222,0.9179227061922873,0.9165782562614645,1
"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 0.95, 'svm__C': 2.0}",1.0,0.9149403581587336,0.004486446526047923,0.9150144979780377,0.9154481471893886,0.9157058843187466,0.9144307764866262,2
"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 2, 'tfidf__max_df': 0.9, 'svm__C': 2.0}",1.0,0.9146595509493339,0.004635164100374848,0.914724852793389,0.9152610227473608,0.9154148016658761,0.9141062844822884,3
"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'svm__C': 1.0}",0.999308007780716,0.9116143780252971,0.005728352354440858,0.9118295536592853,0.9123249742028119,0.9124902564005509,0.9111092756340715,4
"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 5, 'tfidf__max_df': 1.0, 'svm__C': 0.5}",0.9979522875005568,0.9076854394004032,0.005088186016982005,0.9080651093871657,0.9085586175021488,0.9087728756973084,0.9071697490246164,5
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.95, 'svm__C': 1.0}",0.9979980013346049,0.9010357464496901,0.005820943682907779,0.9011159303803637,0.9016402401907145,0.9019517788377691,0.9002998967644376,6
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 1.0, 'svm__C': 2.0}",0.9994467351490869,0.9003036856142461,0.0049216762691869816,0.9002470996184522,0.9009961088771619,0.9011244675699654,0.8995236971426122,7
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'svm__C': 1.0}",0.9976412434418217,0.898923818149447,0.005269935483594995,0.8989440106636375,0.8995653664492442,0.8998228632350319,0.898154027121285,8
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.95, 'svm__C': 0.5}",0.9925963924364536,0.8970215550021697,0.0055856213861599485,0.8972065587238844,0.8977597185839141,0.8980227971110628,0.8963287681420165,9
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 0.9, 'svm__C': 0.5}",0.9913937643118412,0.8965349959413343,0.005831564732803298,0.8967721957389463,0.8971161882032682,0.8976207261722212,0.8958331149130861,10
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 0.95, 'svm__C': 0.1}",0.9364412748588412,0.8741376747041052,0.006549072051697803,0.8760690621427246,0.8772261754197703,0.8770276738257697,0.8734069098061893,11
"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 2, 'tfidf__max_df': 0.9, 'svm__C': 0.1}",0.939140526696824,0.8730138036614399,0.005669273966202851,0.8749105861961644,0.876390181882478,0.8758411152918615,0.8722835627819607,12
