,precision,recall,f1-score,support
Bất động sản,0.9185185185185185,0.9841269841269841,0.9501915708812261,126.0
Công nghệ,0.9203539823008849,0.9285714285714286,0.9244444444444444,112.0
Du lịch,0.905511811023622,0.9274193548387096,0.9163346613545816,124.0
Giáo dục,0.9747899159663865,0.9747899159663865,0.9747899159663865,119.0
Giải trí,0.9444444444444444,0.9834710743801653,0.9635627530364372,121.0
Khoa học,0.9553571428571429,0.9224137931034483,0.9385964912280702,116.0
Kinh doanh,0.9067796610169492,0.8359375,0.8699186991869918,128.0
Pháp luật,0.9153846153846154,0.937007874015748,0.9260700389105059,127.0
Sức khỏe,0.953125,0.9606299212598425,0.9568627450980393,127.0
Thế giới,0.9596774193548387,0.952,0.9558232931726908,125.0
Thể thao,0.9836065573770492,0.975609756097561,0.9795918367346939,123.0
Thời sự,0.8870967741935484,0.8270676691729323,0.8560311284046692,133.0
Ý kiến,0.968,0.983739837398374,0.9758064516129032,123.0
Đời sống,0.8709677419354839,0.8780487804878049,0.8744939271255061,123.0
accuracy,0.9328314997104806,0.9328314997104806,0.9328314997104806,0.9328314997104806
macro avg,0.9331152560266773,0.9336309921013847,0.9330369969397961,1727.0
weighted avg,0.9326487291451777,0.9328314997104806,0.9323940654946524,1727.0
