label,total_articles,articles_containing_label_name,rate
Bất động sản,631,330,0.5229793977812995
Công nghệ,561,346,0.6167557932263814
Du lịch,619,422,0.6817447495961227
Giáo dục,593,373,0.6290050590219224
Giải trí,604,127,0.21026490066225165
Khoa học,581,328,0.5645438898450946
Kinh doanh,642,262,0.40809968847352024
Pháp luật,633,164,0.25908372827804105
Sức khỏe,633,354,0.5592417061611374
Thế giới,624,113,0.18108974358974358
Thể thao,617,158,0.2560777957860616
Thời sự,664,20,0.030120481927710843
Ý kiến,615,61,0.0991869918699187
Đời sống,617,64,0.10372771474878444
