C,mean_train_macro_f1,mean_test_macro_f1,std_test_macro_f1,train_cv_gap,cv_f1_minus_std,mean_test_accuracy,mean_test_macro_precision,mean_test_macro_recall,mean_test_weighted_f1,mean_fit_time,rank_test_macro_f1
0.25,0.9914257383464218,0.8987048898605805,0.0057027858950007065,0.09272084848584128,0.8930021039655798,0.8993791071928205,0.8997580472305551,0.9001420747377364,0.8981816977884179,18.434999465942383,13
0.5,0.9979162578988188,0.9075229571713062,0.004769744726624828,0.09039330072751262,0.9027532124446813,0.9079201820028062,0.9084192904802866,0.9086396656413708,0.9069961263841531,19.037536287307738,12
0.75,0.9987344634431808,0.9102190289599307,0.006066306962412687,0.08851543448325017,0.904152721997518,0.9105263599124358,0.9109882435385381,0.9112285217901703,0.9096916135315704,18.65396113395691,11
1.0,0.9993423519836344,0.9113282345703547,0.006005750488880329,0.08801411741327969,0.9053224840814744,0.9115401180587066,0.9120229749191182,0.9122219741625983,0.9108122672681851,17.50773415565491,10
1.25,0.9997571956279663,0.9126786186417453,0.0055900640072762435,0.08707857698622101,0.907088554634469,0.9128428926374162,0.9133510199820278,0.9135211788251217,0.912164941301779,18.315753078460695,9
1.5,0.9999302321371873,0.9139200044392408,0.005734541726243314,0.08601022769794653,0.9081854627129975,0.9140011589999066,0.9145624231519596,0.9146790233960674,0.9133882922536645,19.044271802902223,8
2.0,1.0,0.9152253812484394,0.004557151552696269,0.08477461875156056,0.9106682296957431,0.9153040383706514,0.9157667775821727,0.9159801189376514,0.914708120720654,18.08238878250122,7
2.5,1.0,0.9153905068287115,0.004223474585946238,0.08460949317128852,0.9111670322427653,0.9154487561709409,0.9159916986594011,0.9161953741674098,0.9148005246566695,19.115489053726197,6
3.0,1.0,0.9160343932237571,0.004413173633506668,0.08396560677624287,0.9116212195902504,0.9160280465402385,0.9166403478770032,0.9167816648632563,0.9154225829323026,20.188981771469116,5
4.0,1.0,0.9170450075400318,0.004800404242980273,0.08295499245996818,0.9122446032970516,0.9170416998944744,0.9176140383135409,0.9177843884466309,0.9164467490286439,19.03956594467163,4
5.0,1.0,0.9171818034803699,0.004867752611353609,0.08281819651963007,0.9123140508690163,0.9171865224867988,0.9177572330860222,0.9179227061922873,0.9165782562614645,19.493745708465575,3
7.5,1.0,0.9173701927938387,0.0039442654512138854,0.08262980720616131,0.9134259273426248,0.9173311354950533,0.9179676563210639,0.9180692751393316,0.9167547837563221,21.953497552871703,1
10.0,1.0,0.9172148473240057,0.0035497752451248924,0.08278515267599429,0.9136650720788808,0.9171863129027289,0.917836454309743,0.917938324654013,0.916589000265812,19.993528270721434,2
