,precision,recall,f1-score,support
Bất động sản,0.924812030075188,0.9761904761904762,0.9498069498069498,126.0
Công nghệ,0.911504424778761,0.9196428571428571,0.9155555555555556,112.0
Du lịch,0.9069767441860465,0.9435483870967742,0.924901185770751,124.0
Giáo dục,0.9747899159663865,0.9747899159663865,0.9747899159663865,119.0
Giải trí,0.952,0.9834710743801653,0.967479674796748,121.0
Khoa học,0.9553571428571429,0.9224137931034483,0.9385964912280702,116.0
Kinh doanh,0.8916666666666667,0.8359375,0.8629032258064516,128.0
Pháp luật,0.9069767441860465,0.9212598425196851,0.9140625,127.0
Sức khỏe,0.9318181818181818,0.968503937007874,0.9498069498069498,127.0
Thế giới,0.9596774193548387,0.952,0.9558232931726908,125.0
Thể thao,0.983739837398374,0.983739837398374,0.983739837398374,123.0
Thời sự,0.9016393442622951,0.8270676691729323,0.8627450980392157,133.0
Ý kiến,0.968,0.983739837398374,0.9758064516129032,123.0
Đời sống,0.8760330578512396,0.8617886178861789,0.8688524590163934,123.0
accuracy,0.931673422119282,0.931673422119282,0.931673422119282,0.931673422119282
macro avg,0.9317851078143692,0.9324352675188232,0.9317763991412458,1727.0
weighted avg,0.9313534577145375,0.931673422119282,0.9311679023093501,1727.0
