,Bất động sản,Công nghệ,Du lịch,Giáo dục,Giải trí,Khoa học,Kinh doanh,Pháp luật,Sức khỏe,Thế giới,Thể thao,Thời sự,Ý kiến,Đời sống
Bất động sản,124,0,1,0,0,0,0,0,0,0,0,0,1,0
Công nghệ,0,103,0,0,0,4,1,1,0,0,1,2,0,0
Du lịch,2,0,116,0,0,0,3,0,0,1,0,0,0,2
Giáo dục,0,0,0,116,0,0,0,0,0,0,0,1,0,2
Giải trí,0,0,1,1,118,0,0,0,0,0,0,0,1,0
Khoa học,0,5,0,0,0,107,2,0,0,1,0,0,1,0
Kinh doanh,4,2,2,0,0,0,109,5,0,2,0,2,0,2
Pháp luật,0,1,0,0,1,0,1,117,1,0,0,4,1,1
Sức khỏe,0,0,0,0,0,0,1,1,122,0,0,1,0,2
Thế giới,0,0,0,0,1,0,2,0,0,119,0,0,0,3
Thể thao,0,0,0,0,2,0,0,0,0,1,120,0,0,0
Thời sự,5,0,5,1,2,0,1,1,3,0,1,111,0,3
Ý kiến,0,0,0,1,1,0,0,0,0,0,0,0,121,0
Đời sống,0,1,4,0,0,0,1,2,5,0,0,4,0,106
